Variable	Description	Units	Method / Notes	Appears in
Well_concentration	DNA concentration in the qPCR reaction well	ng	Amount of DNA template added to each qPCR reaction.	qPCR_Browning_recalc.csv
Gene_Copies_ng	Gene copy number standardized by DNA concentration	Gene copies ng?¹ DNA	Calculated by dividing the estimated gene copy concentration by the DNA mass added to the qPCR reaction.	qPCR_Browning_recalc.csv
log_GC	Log??-transformed gene copy number	log??(gene copies ng?¹ DNA)	Calculated as log??(Gene_Copies_ng). Used in downstream statistical analyses.	qPCR_Browning_recalc.csv
gc_g_dry_soil	Gene copy number standardized by dry soil mass	Gene copies g?¹ dry soil	Derived from Gene_Copies_ng and the dry soil mass used for DNA extraction. Used in downstream analyses.	qPCR_Browning_recalc.csv
temp_avg	Soil temperature measurement	°C	Handheld measurement to approximately 5 cm soil depth. Average of four measurements collected within the plot on each sampling day.	curated_flux.csv 
sm_avg	Soil moisture sensor reading 	Sensor units	Average of four handheld soil moisture measurements collected within the plot on each sampling day. Raw sensor output used to calculate volumetric soil water content (SWC).	curated_flux.csv 
NEE	Net ecosystem exchange of CO? measured under transparent chamber conditions (light). Negative values indicate net CO? uptake by the ecosystem; positive values indicate net CO? release.	?mol CO? m?² s?¹	Derived from processed LI-COR gas flux measurements using the FluxCalR package.	curated_flux.csv 
ER	"Ecosystem respiration measured under opaque chamber conditions (dark), representing total CO? released from plant and soil respiration."	?mol CO? m?² s?¹	Derived from processed LI-COR gas flux measurements using the FluxCalR package.	curated_flux.csv 
GPP	Gross primary productivity calculated from net ecosystem exchange and ecosystem respiration (GPP = NEE ? ER using the study sign convention). More negative values indicate greater CO? uptake through photosynthesis.	?mol CO? m?² s?¹	Calculated from processed NEE and ER measurements.	curated_flux.csv 
CH4	Methane (CH?) flux measured during chamber closure. Negative values indicate net CH? uptake by the soil; positive values indicate net CH? emission.	?mol CH? m?² s?¹	Derived from processed LI-COR gas flux measurements using the FluxCalR package from dark chamber measurements.	curated_flux.csv 
At	Aulacomnium turgidum	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
UM6	Barbilophozia floerkei	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
